;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
68;0x;a;3d;0;0;0;a;a6;a3;33;0;b0;be;32;0;3c;f6;ff;ff;20;f9;ff;ff;ee;f;0;0;c6;24;0;0;fd;3;0;34;0;1;38;41;64
69;0x;a;3c;0;0;0;a;be;9f;33;0;d8;ba;32;0;3c;f6;ff;ff;20;f9;ff;ff;10;d;0;0;c6;24;0;0;fe;3;0;34;0;fe;37;41;64
70;0x;a;3b;0;0;0;a;f4;a0;33;0;9;bc;32;0;3c;f6;ff;ff;20;f9;ff;ff;10;d;0;0;d8;24;0;0;fe;3;0;34;0;fb;37;41;64
71;0x;a;3b;0;0;0;a;f4;a0;33;0;9;bc;32;0;3c;f6;ff;ff;20;f9;ff;ff;10;d;0;0;d8;24;0;0;fe;3;0;34;0;fb;37;41;64
72;0x;a;3a;0;0;0;a;6a;a8;33;0;60;c3;32;0;3c;f6;ff;ff;20;f9;ff;ff;10;d;0;0;d8;24;0;0;fe;3;0;34;0;f8;37;41;64
73;0x;a;39;0;0;0;a;d4;8e;33;0;35;aa;32;0;3c;f6;ff;ff;20;f9;ff;ff;4b;10;0;0;f3;24;0;0;fd;3;0;34;0;f5;37;41;64
74;0x;a;37;0;0;0;a;83;8e;33;0;e6;a9;32;0;3c;f6;ff;ff;20;f9;ff;ff;6b;10;0;0;d8;24;0;0;fe;3;0;34;0;ef;37;41;64
75;0x;a;37;0;0;0;a;83;8e;33;0;e6;a9;32;0;3c;f6;ff;ff;20;f9;ff;ff;6b;10;0;0;d8;24;0;0;fe;3;0;34;0;ef;37;41;64
76;0x;a;35;0;0;0;a;82;81;33;0;1b;9d;32;0;3c;f6;ff;ff;20;f9;ff;ff;4b;10;0;0;99;24;0;0;fe;3;0;34;0;e9;37;41;64
77;0x;a;35;0;0;0;a;82;81;33;0;1b;9d;32;0;3c;f6;ff;ff;20;f9;ff;ff;4b;10;0;0;99;24;0;0;fe;3;0;34;0;e9;37;41;64
78;0x;a;34;0;0;0;a;64;7c;33;0;13;98;32;0;3c;f6;ff;ff;20;f9;ff;ff;6b;10;0;0;8f;24;0;0;ff;3;0;34;0;e6;37;41;64
79;0x;a;33;0;0;0;a;1a;8a;33;0;8f;a5;32;0;3c;f6;ff;ff;20;f9;ff;ff;6b;10;0;0;74;24;0;0;fe;3;0;34;0;e3;37;41;64
80;0x;a;32;0;0;0;a;70;75;33;0;3c;91;32;0;3c;f6;ff;ff;20;f9;ff;ff;a9;10;0;0;62;24;0;0;fd;3;0;34;0;e0;37;41;64
